Hospital Name,Address,Latitude,Longitude,Verified Address
Sir Ganga Ram Hospital,"Rajinder Nagar, New Delhi - 110060",28.6384582,77.1895559,"OPD, SIR GANGA RAM HOSPITAL, F-55, Central, Old Rajinder Nagar, Rajinder Nagar, New Delhi, Delhi, 110034, India"
Pushpawati Singhania Hospital & Research Institute (PSRI),"Press Enclave Marg, Sheik Sarai-II, New Delhi-110017",28.533387,77.2253254,"Department of General Surgery, ii, Press Enclave Marg, J Pocket, Phase II, Sheikh Sarai, New Delhi, Delhi 110017, India"
Metro Hospital & Cancer Institute,"21, Community Centre, Preet Vihar, Delhi - 110 092.",28.63856362,77.29482348,"Community Center, Metro Hospital and Cancer Institute, 21, Acharya Nagraj Marg, C Block, Preet Vihar, New Delhi, Delhi, 110092, India"
Ankur Maitrika Hospital (OPC) Pvt. Ltd.,"Ward No. 55, Channi By Pass, Near Jodhamal Public School, Jammu-180012",32.6828797,74.9041698,"MWM3+5M3, Sainik Colony, Jammu, 180015"
Shri Mata Vaishno Devi Narayana Superspeciality Hospital,"Kakryal Katra, Reasi, Jammu and Kashmir-182320",32.9300193,74.9526324,"Government High School - Sira Kakryal, WWJX+GXC, Domel Katra Route, Bhagta, Kotla, 182320"
Bee Enn General Hospital,"Talab Tilo Road, Jammu (Union Territory of Jammu & Kashmir)",32.7299468,74.8412326,"61-F, Garden Avenue, Bhagwati Nagar, Talab Tillo, Jammu, 180002"
Acharya Shri Chander College of Medical Sciences and Hospital,"P.B.No.5, N.H. Bye Pass, Sirdhar Jammu-180006 (Union Territory of Jammu & Kashmir",32.6844674,74.9057454,"MWM4+Q7Q, Sainik Colony, Jammu, 180015"
Plus Medicare Hospital Pvt. Ltd. (Paras Health),"Durganag, Dalgate Bridge, Munshi Bagh, Srinagar, J&K-190001",34.0751642,74.8318743,"3RGJ+4MC, Dalgate Footbridge, Munshi Bagh, DurgaNag, Srinagar, 190001"
Chand Eye Clinic,74 A/D Gandhi Nagar Jammu,32.7117033,74.8627386,"CHAND EYE CLINIC 74 A/D, Gandhi Nagar, Jammu, 180004"
AMRI Hospitals Limited,"Plot No. 1 (Besides Satya Sai Enclave), Khandagiri, Bhubaneswar Odisha-751030",20.2603222,85.7776458,"7Q6H+424, Khandagiri, Shankarpur, Bhubaneswar, Odisha 751030, India"
Apollo Hospital,"Plot No. 251, Sanik School Road, Bhubaneswar, PIN-751005 (Odisha)",20.3123637,85.8312717,"Apollo Hospitals, 251, Sainik School Rd, Unit-15, Bhubaneswar, Odisha 751005, India"
Sparsh Hospitals & Critical Care (Pvt) Ltd.,"Plot no. A/407, Shaheed Nagar, Bhubaneswar Odisha -751007",12.9267337,77.521328,"283, 4th Cross Rd, 2nd Phase, Ideal Homes Twp, Rajarajeshwari Nagar, Bengaluru, Karnataka 560098, India"
Medanta Abdur Razzaque Ansari Memorial Weavers Hospital,"PO Irba, PS Ormanjhi, Distt Ranchi, Jharkhand-835217",23.4507271,85.4372299,"FC2P+6MP, Koilari, Jharkhand 835217, India"
Brahmananda Narayana Multispecialty Hospital,"NH-33, Tamolia Village, BNH More, Near Pardih Chowk, Jamshedpur-831012",22.8526423,86.2034712,"Pardih Chowk, Pardih Basti, Iqra Colony, Mango, Jharkhand 832110, India"
Santevita Hospital,"1 HB Road, Near Firayalal Chowk, Ranchi-834001 (Jharkhand)",23.3706364,85.3264402,"1, Hazaribag Road, Albert Ekka Chowk, Ahirtoli, Ranchi, Jharkhand 834001, India"
Hayat Hospital (A Unit of Hayat Hospital Pvt Ltd),"Lalganesh, Guwahati, Assam-781034",26.13872,91.769685,"4QQ9+FVM, Kalyani Nagar, JANAKPUR, Kahilipara, Guwahati, Assam 781019, India"
Narayan Super Speciality Hospital (A Unit of Narayan Harudayalaya Ltd),"Near Tula Ram Bafna Civil Hospital Campus, Amingaon, Guwahati, Assam-781031",26.2075602,91.6776917,"6M5G+4X3, Amingaon, Guwahati, Agyathuri, Assam 781039, India"
Silvercrest Multispeciality Hospital (A unit of Dr. Amiya Healthcare Pvt Ltd),"Moidomia, Borbocha, North Lakhimpur, Assam-787302",27.2607148,94.1235198,"746F+MGG, Barbocha, Assam 787032, India"
"GNRC Hospital, Dispur (A unit of GNRC Ltd)","GNRC Complex, Dispur, Guwahati, Assam- 781006",26.1390717,91.7946214,"GNRC Hospital, 15, Kalpataru Path, near GNRC Hospital, Dispur, Rukmini Gaon, Guwahati, Assam 781006, India"
Apollo Hospital,"Lotus Tower, Christian Basti, G. S. Road, Guwahati-781005 (Assam)",26.153948,91.7808855,"Lotus Tower, GS Rd, Christian Basti, Guwahati, Assam 781006, India"
Srimanta Sankardeva Hospital & Research Institute,"Mancotta Road, Dibrugarh, Assam-786001",27.4729995,94.91138946,"Tarun Borah Building, 1st floor, Mancotta Rd, near Srimanta Sankardeva Hospital & Research Institute (SSHRI, Ttiloi Bari, Chowkidingee, Dibrugarh, Assam 786001, India"
Apeksha Hospital,"Jalan Nagar, AMC Road, Dibrugarh, Assam-786005",27.4918784,94.9329305,"FWRM+M33, Dibrugarh, Assam 786001, India"
Shija Hospital and Research Institute,"Health City, Lanjol, Imphal West, MANIPUR-795004",24.8117516,93.9113634,"RW66+PG5, Lamphelpat, Imphal, Manipur 795004, India"
Apollo Speciality Hospital,"Ayanambakkam, Chennai, Tamilnadu - 600095",13.0707104,80.1506203,"64, Vanagaram-Ambattur Rd, Ayanambakkam, Ambattur Industrial Estate, Chennai, Tamil Nadu 600095, India"
Medical Research Foundation,"18 College Road (New No. 41), Chennai, Tamilnadu-600006",13.0672423,80.2503024,"18, College Rd, Thousand Lights West, Nungambakkam, Chennai, Tamil Nadu 600006, India"
Apollo Main Hospital,"Greams Road, Chennai, Tamil Nadu, PIN-600006",13.062923,80.251978,"3, Greams Ln, off Greams Road, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600006, India"
Apollo Speciality Hospital,"Madurai, Tamil Nadu, PIN-625706",9.9281821,78.1491278,"Apollo Dental Clinic, Apollo Speciality Hospitals, C/o, 80 Feet Rd, near Big Cinemas Theater, Deputy Collector Colony, Madurai, Tamil Nadu 625020, India"
DR. Rela Institute & Medical Centre,"No. 7, CLC Works Road, Chromepet, Chennai, Tamil Nadu - 600044",12.9549235,80.1388459,"BLOCK-B, DR. RELA INSTITUTE & MEDICAL CENTER, 123A, CLC Works Rd, Pallavapuram, Shankar Nagar, Chromepet, Chennai, Tamil Nadu 600044, India"
Apollo Specialty Hospital (Cancer Hospital),"No. 320, Anna Salai, Nandanam, Chennai, Tamil Nadu, Pin-600035",13.0337165,80.2451388,"CANCER INSTITUTE, APOLLO HOSPITAL, 320, Anna Salai, Rathna Nagar, Alwarpet, Chennai, Tamil Nadu 600035, India"
M/s Fortis Hospitals Ltd. (Fortis Hospital Bannerghatta Road),"154/9, Bilekahalli Village, Bannerghatta Road, Begur, Hubli, Bengaluru, Karnataka -560076.",12.8948217,77.5986197,"Cabin No - 456 154, 9, Bannerghatta Rd, opposite IIM, Sahyadri Layout, Panduranga Nagar, Bengaluru, Karnataka 560076, India"
M. S. Ramaiya Memorial Hospital,"M.S.R. Nagar, MSRIT Post, New BEL Road, Bangalore-560054, Karnataka",13.0283322,77.5697841,"63, AG's Layout, Mathikere, Bengaluru, Karnataka 560054, India"
Aster RV Hospital,"CA-37, 24TH Main ITI Layout, I Phase, JP Nagar, Bengaluru, Karnataka-560078",12.9108429,77.5851284,"CA 37, 24th Main Rd, ITI Layout, 1st Phase, J. P. Nagar, Bengaluru, Karnataka 560078, India"
Aster CMI Hospital,"No.43/2, Sahakara Nagar, Hebbal, Bengaluru, Karnataka-560092",13.054497,77.5915659,"43/2, NH 7, New Airport Road, Sahakar Nagar, Sanjeevini Nagar, Bengaluru, Karnataka 560092, India"
Manipal Hospitals Vijayawada ( A unit of Manipal Hospitals (Jaipur) Private Limited),"Near Varadhi, Vijayawada, Tadepalli, Guntur District, Andhra Pradesh - 522501",16.4854582,80.6204584,"FJPC+672, Tadepalle, Andhra Pradesh 522501, India"
Apollo Health City,"Chinagadhili, Visakhapatnam, Andhra Pradesh-530002",17.7121136,83.3121281,"18-68, 13 Kotha, Port Officers Quarters, Salipeta, Visakhapatnam, Andhra Pradesh 530002, India"
Heema Hospital,"Bank Tinali, Itanagar, Arunachal Pradesh, PIN-791111",27.100861,93.6280042,"4J3G+8G9, NH415, Itanagar, 791111"
MMI Narayana Hospital (A Unit of M/s Narayana Hrudayalaya Ltd.),"New Dhamtari Road, Lalpur, Raipur, Chhattisgarh, PIN-490001",21.2131653,81.6579148,"430/3, Lalpur, Raipur, Tikrapara, Chhattisgarh 492001, India"
SSB Heart and Multispecialty Hospital,"Plot No, 69, Mathura Road, Near Neelam Flyover, Sector 20 A, Faridabad, Haryana 121001",28.3905861,77.3126117,"4B/11 Crown Plaza Mall,, Sector 15A, Faridabad, Haryana 121001, India"
"Yatharth Super Speciality Hospital Faridabad, (A Unit of Pristine Infracon Private Limited)","RPS City, Sector 88, Faridabad-121002",28.4187513,77.3561267,"115, RPS Rd, RPS City, Sector 88, Faridabad, Haryana 121002, India"
Narayana Superspecialty Hospital,"Plot 3201, Block - V, DLF Phase - III, Nathupur, Sector-24, Gurugram, Haryana-122002",28.4978455,77.101681,"119, Nathupur, DLF, Gurugram, Haryana 122002, India"
Fortis Memorial Research Institute (A Unit of Fortis Hospitals Limited),"Sector-44, Gurugram-122002",28.4582561,77.07028,"Third Floor, Unitech Business Park Tower A, Sector 17-B, Block F, South City I, Sector 41, Gurugram, Haryana 122003, India"
Metro Heart Institute With Multi Speciality (A unit of Metro Speciality Hospitals Pvt. Ltd.),"Sector -16 A, Faridabad-12202 (Haryana)",28.6385409,77.2948321,"Community Center, Metro Hospital and Cancer Institute, 21, Acharya Nagraj Marg, C Block, Preet Vihar, New Delhi, Delhi, 110092, India"
QRG Medicare Limited,"Plot No 1, Sector - 16, Faridabad-121002",28.408153,77.3185833,"4, Sector 16 Rd, Nirman Kunj, ADB PWD Colony, Sector 16A, Faridabad, Haryana 121002, India"
Artemis Hospital (A unit of Medicare Services Limited),"Sector-51, Gurugram, Haryana-122001",28.4317417,77.072291,"C3JC+MW Gurugram, Haryana, India"
Max Hospital (A unit of ALPS Hospital Limited),"B-Block, Sushant Lok- Phase-1, Gurugram-122001 HARYANA",28.474985,77.075675,"1B, Phase 1, Sector 28, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122002, India"
"Paras Healthcare Pvt. Ltd. (Paras Hospitals, Panchkula)","Plot No. H-2, HSIIDC, Technology Park, Sector-22, Near Nada Sahib Gurudwara, Panchkula, Haryana -134109",30.6930752,76.8834028,"180A, Paras Hospital Rd, Sector 22, Panchkula, Nada Sahib, Haryana 134116, India"
Accord Superspecialty Hospital (A Unit of SCL Health Care Pvt Ltd),"Sector-86, Greater Faridabad 121002",28.4048558,77.3391203,"503, Sector 86, Faridabad, Haryana 121007, India"
Amrita Institute of Medical Science and Research Centre,"Mata Amritanandamayi Marg, Sector-88, Faridabad-121002 (Haryana)",28.4265768,77.3570366,"C9G4+GVX Amrita Hospital, RPS City, Sector 88, Faridabad, Haryana 121002, India"
Sarvodaya Hospital & Research Centre,"YMCA Road, Sector-8, Faridabad, PIN-121006 (Haryana)",28.36765493,77.33653959,"Sector-8, YMCA Rd, near Escorts Mujesar Metro Station, Sector 8, Faridabad, Haryana 121006, India"
Fortis Escorts Hospital,"Neelam Bata Road, Faridabad-121001",28.391214,77.3068975,"Fortis Escorts Hospital Neelam Bata Road, Neelam Chowk, AC Nagar, New Industrial Township, Faridabad, Haryana 121001, India"
Medanta - The Medicity (A Unit of M/s Global Health Pvt. Ltd.),"Sector -38, Gurugram, Haryana-122001",28.4389626,77.040818,"1013/AP, Medicity, Islampur Village, Sector 38, Gurugram, Haryana 122001, India"
Umkal Hospital & M.P. Heart Research Centre,"A-520, Sushant Lok-I, Gurgaon-122002",28.4715216,77.0733067,"520, Block A, Sushant Lok Phase I, Gurugram, Haryana 122009, India"
Asian Institute of Medical Sciences(A unit of M/s Blue Sapphire Healthcare Pvt. Ltd.),"Sector-21A, Faridabad, Haryana",28.4260624,77.2996388,"Room No. 109, 1st Floor, Asian Hospital, Badkhal Flyover, Sector 21A, Faridabad, Haryana 121001, India"
CIMS Hospital Private Limited,"Near Shukan Mal, Off. Science City Road, Sola, Ahmedabad-380060",23.0702256,72.516908,"Off, Science City Rd, Panchamrut Bunglows II, Sola, Ahmedabad, Gujarat 380060, India"
Apollo Hospital International Limited,"Plot No. - 1A, Bhat GIDC Estate, Gandhinagar-382428 (Gujrat)",23.1095502,72.6263885,"1A, Ahmedabad - Gandhinagar Rd, near Narayani Hotels Apollo Hospitals International Limited, GIDC Bhat, Bhat, Gandhinagar, Ahmedabad, Gujarat 382428, India"
Shalby Multispecialty Hospital (A unit of Shalby Limited),"S G Highway, Ahmedabad (Gujrat) 380015",23.0190291,72.5066568,"Shalby Multi Specialty Hospital, Shalby Multi Specialty Hospital, Corporate Rd, Ramdev Nagar, Ahmedabad, Gujarat 380015, India"
SAL Hospital,"Opposite Doordarshan, Ahmedabad (Gujarat), Drive in Road, PIN-380054",23.0495241,72.5242733,"9-11, Drive In Rd, near SAL Hospital & Medical Institute, Nilmani Society, Memnagar, Ahmedabad, Gujarat 380052, India"
M/s Divyaram Medical and Research Institute Private Limited,"East Fort Guruvayoor Road, Near Pipe Line Junction, Thrissur, Kerala-680005",10.522059,76.2236502,"1439-27, Anjangady, East Fort, Pallikkulam, Thrissur, Kerala 680005, India"
Apollo Adlux Hospital,"Adlux junction, Karukutty, Angamali, Kerala -683576",10.2396817,76.372493,"69QC+VX Angamaly, Kerala, India"
Ananthapuri Hospitals and Research Institute,"NH bypass 66, Airport Rd, Near Courtyard Garden, Chackai, Thiruvananthapuram, Kerala-695024",8.4865432,76.927335,"FWPG+MWX, NH Bypass Service Rd, Eanchakkal, Thiruvananthapuram, Kerala 695024, India"
Bishop Benziger Hospital,"Beach Road, Kollam, Kerala-691577",8.8813858,76.5930369,"VHJV+H63, Beach Rd, Mundakkal Village, Kollam, Kerala 691001, India"
Rajagiri Hospital,"Chunangamvely Aluva, Enarkulam, Kerala, 683112",10.0876205,76.388183,"622, AM Rd, near Rajagiri Hospital, Sanjo Gardens, Edathala, Aluva, Kerala 683112, India"
Fortis Escorts Hospital,"Jawahar Lal Nehru Marg, Malviya Nagar, Jaipur, Rajasthan-302017",26.8462747,75.8034574,"RRW3+G99, Sector 5, Malviya Nagar, Jaipur, Rajasthan 302017, India"
Narayana Multispecialty Hospital (A unit of Narayana Hrudayalaya Ltd.),"Sector-28, Pratap Nagar, Sanganer, Jaipur-302033 (Rajasthan)",26.8009015,75.8383306,"46/15, Sector 28, Sector 19, Pratap Nagar, Jaipur, Rajasthan 302033, India"
Rukmani Birla Hospital (A Unit of The Calcutta Medical Research Institute),"Gopalpura Byepass Road, Near Triveni Flyover, Jaipur, Rajasthan-302018",26.8794531,75.7613592,"40, Gopalpura Bypass Rd, Gangaram Nagar, Shakti Nagar, Road, Jaipur, Rajasthan 302019, India"
Sarvodaya Hospital (A Unit of Anshu Hospitals Limited),"Gaur City-2, Noida (West), Gautam Buddha Nagar - 201301 (UP)",28.6223524,77.4226705,"JCCF+W3 Ghaziabad, Uttar Pradesh, India"
ICare Eye Hospital & Post Graduate Institute(A Unit of Ishwar Charitable Trust),"E-3, Sector 26, Noida, Gautam Buddha Nagar(UP)",28.57992829,77.3357684,"E3A, ICARE Eye Hospital Rd, Block B, Sector 26, Noida, Uttar Pradesh 201301, India"
Regency Hospital,"Khurram Nagar, Ring Road, Lucknow-226022 (UP)",26.8986082,80.9678711,"529D/394, Kalyanpur, Lucknow, Uttar Pradesh 226022, India"
Apollo Hospital (Under the Management of Indraprastha Medical Corporation Limited),"E-2, Sector-26, Noida-201301 (U.P.)",28.5700646,77.3243521,"24, G Block, Pocket G, Sector 18, Noida, Uttar Pradesh 201301, India"
Fortis Hospital (A Unit of RR Life Sciences Pvt. Ltd.),"Plot No. SH-06, Site-IV, Surajpur Industrial Area, Greater Noida -201306",28.5181512,77.5144248,"47, Surajpur Industrial Area, Block J, UPSIDC Site C, Surajpur, Greater Noida, Uttar Pradesh 201306, India"
Kailash Hospital & Neuro Institute (A Unit of Kailash Healthcare Limited),"NH-1, Sector-71, Noida, Gautam Budd Nagar - 201309 (U.P.)",31.0675,81.3119444,"3886+XQW, Burang County, Ngari Prefecture, Tibet, China, 859512"
Yashoda Super Specialty Hospital,"H1, Kaushambi, Near Dabur Chowk Metro Station, Ghaziabad (UP)-201010",28.6453167,77.3285961,"C1203, Supertech Rameshwar Orchid, Kaushambi, Ghaziabad, Uttar Pradesh 201012, India"
Kailash Hospital Limited,"Plot No.23 KP 1, Greater Noida (UP)-201310",28.4703262,77.5051402,"Arogaya hospital MILLAK Lachachi Arogaya hospital MILLAK lachachi, Knowledge Park I, Greater Noida, Uttar Pradesh 201310, India"
Apollomedics Super Speciality Hospitals,"KBC-31, Sector-B, LDA Colony, Kanpur Road, Lucknow - 226012 (UP) ",26.7981787,80.9015457,"Plot no. KBC, 31, Kanpur - Lucknow Rd, Sector B, Bargawan, LDA Colony, Lucknow, Uttar Pradesh 226012, India"
Agarwal Eye Hospital & Dental Care Center(Only for eye),"A-371, Sector-19, Atta Peer Chowk, Noida U.P.",28.57482578,77.32371652,"375, A Block, Block A, Sector 19, Noida, Uttar Pradesh 201301, India"
Max Super Specialty Hospital (A Unit of Crosslay Remedies Limited),"W-3, Sector-1, Vaishali, Ghaziabad -201012",28.634691,77.332993,"W3, Sector-1, Vaishali, Ghaziabad, Uttar Pradesh 201010, India"
Kailash Hospital & Heart Institute (A unit of Kailash Healthcare Limited),"H-33, Sector-27, Noida-201301",31.0675,81.3119444,"3886+XQW, Burang County, Ngari Prefecture, Tibet, China, 859512"
Fortis Hospital (A Unit of Fortis Hospitals Limited),"B-22, Sector-62, Gautam Budh Nagar, Noida-201301 (UP)",28.6187084,77.3725835,"B 22, Block B, Industrial Area, Sector 62, Noida, Uttar Pradesh 201309, India"
MAX Super Speciality Hospital Lucknow (A Unit of Starlit Medical Center Private Limited),"1, Viraj Khand, Gomti Nagar, Lucknow, Uttar Pradesh-226010",26.8500587,81.0241919,"Sahara Hospital Building, Viraj Khand - 1, Viraj Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India"
Narinder Mohan Hospital,"Mohan Nagar, Ghaziabad",28.6797793,77.3851961,"B17, Block B, Mohan Nagar, Sahibabad, Ghaziabad, Uttar Pradesh 201007, India"
Jaypee Hospital (A Unit of Jaypee Healthcare Limited),"Sector-128, Noida-201301",28.5154379,77.3714472,"Parking lot, near, Jaypee Hospital Rd, Goberdhanpur, Sector 128, Noida, Shahpur Govardhanpur Bangar, Uttar Pradesh, India"
Grewal Eye Institute Private Limited,"SCO 168-169, Sector - 9C, Madhya Marg, Chandigarh-160009",30.7453144,76.7869245,"First Floor, Sco 53-54, Madhya Marg, near Dr. Batra, 9-D, Sector 9, Chandigarh, 160009, India"
Apollo Hospitals,Jubilee Hills Hyderabad-500092,17.4313358,78.4322839,"CCJJ+GWM, SBH Colony, Yousufguda, Hyderabad, Telangana 500073, India"
AIG Hospitals ( A Unit of Asian Gastroenterology Pvt. Ltd.),"Mind Space, Gachibowli, Hyderabad",17.4433696,78.3663435,"V9, पून्थोत्तम कॉलोनी, Gachibowli, Hyderabad, Telangana 500081, India"
Krishna Institute of Medical Sciences Limited,"Minister Road Begumpet, Secunderabad - 500003 (Telangana)",17.4369073,78.4829178,"1-8-31/1, Minister Rd, Krishna Nagar Colony, Begumpet, Secunderabad, Hyderabad, Telangana 500003, India"
M/s Yashoda Hospital (Venture -I),"H. No. 1-1-156, 157/2, S.P. Road, Secunderabad, Telangana-500003",17.443586,78.4758656,"1-38-1948/1, Patigadda, Begumpet, Hyderabad, Telangana 500003, India"
Max Superseciality Hospital,"Malsi Masuri Divergen Road, Dehradun, PIN-248001 (Uttarkhand)",30.373487,78.074375,"Max Super Speciality Hospital, 165-166, Mussoorie Diversion Rd, Johri, Malsi, Dehradun, Uttarakhand 248195, India"
Krishna Hospital & Research Center,"3-136, Guru Nank Pura, Subhash Nagar, Haldwani, Uttarakhand 263139",29.22889671,79.53221602,"3-136, Subhash Nagar, GuruNank Pura, Haldwani, Uttarakhand 263139, India"
BrijLal Hospital & Research Centre Pvt. Ltd.,"Anandi Tower, Nainithal Road, Haldwani, Nainital (Uttrakhand)",29.24201993,79.53553518,"35/1, Vaishali Colony, Bhotia Parao, Haldwani, Uttarakhand 263139, India"
Neelkanth Multispecialty Hospital,"Near Shushila Tiwari Hospital, Rampur Road, New I.T.I. Road, Haldwani, PIN-263139",29.2061327,79.5162159,"6G48+FGJ, ITI Dhanmill Rd, Rampur, Haldwani, Uttarakhand 263139, India"
Medica Superspeciality Hospital,"127, E. M. Byepass, Mukundpur, Kolkata, West Bengal - 700099",22.4942277,88.400696,"127, Eastern Metropolitan Bypass, Nitai Nagar, Mukundapur, Kolkata, West Bengal 700099, India"
Apollo Multispeciality Hospital,"58, Canal Circular Road, Kolkata-700054",22.5747851,88.401493,"Apollo Multispeciality Hospitals Limited, 58, Canal Circular Rd, Kadapara, Phool Bagan, Kankurgachi, Kolkata, West Bengal 700054, India"
